申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,單價元平方公尺,車位類別,車位總價,有無管理組織,交易日期,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,建築完成年月,代表建號屋齡,代表建號層次,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,電梯,車位所在樓層,備註欄,主建物面積,附屬建物面積,陽台面積
買賣,房地(土地+建物),1,1,0,2,2,2,,透天厝,2500000,29762,,0,無,1150205,63.96,住,,,84,住商用,加強磚造,二層,650812,49,全,0,高雄市橋頭區南溝路明仁巷６號,橋頭區,仕和段,,無,,親友、員工、共有人或其他特殊關係間之交易；,84,0,0
買賣,房地(土地+建物),1,1,0,3,1,1,,華廈(10層含以下有電梯),8150000,74929,,0,有,1150201,36.03,住,,,108.77,住家用,鋼筋混凝土造,七層,830818,31,一層,0,高雄市鳳山區中崙二路５８２巷７之１號,鳳山區,中崙段,,有,,,72.15,8.96,0
買賣,土地,1,0,0,0,0,0,,其他,300000,203,,0,無,1150212,1478,,山坡地保育區,農牧用地,0,,,,,,,0,達卡努瓦段277地號,那瑪夏區,達卡努瓦段,,無,,親友、員工、共有人或其他特殊關係間之交易；,0,0,0
買賣,房地(土地+建物),1,1,0,2,1,1,,公寓(5樓含以下無電梯),3100000,58757,,0,無,1150204,32.06,住,,,52.76,住家用,鋼筋混凝土造,四層,680430,47,二層,0,高雄市仁武區名湖街１２８巷６號二樓,仁武區,灣北段,,無,,親友、員工、共有人或其他特殊關係間之交易；,52.76,0,0
買賣,土地,1,0,0,0,0,0,,其他,3700000,52857,,0,無,1150225,70,住,,,0,,,,,,,0,仁春段366地號,仁武區,仁春段,,無,,親友、員工、共有人或其他特殊關係間之交易；急買急賣；,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,9000000,29660,,0,無,1150202,303.44,,,,0,,,,,,,0,文南段376地號,路竹區,文南段,,無,,未登記建物；包含公共設施保留地用地；,0,0,0
買賣,土地,3,0,0,0,0,0,,其他,5400000,12188,,0,無,1150225,443.06,住,,,0,,,,,,,0,竹頭角段二小段3866地號,美濃區,竹頭角段二小段,,無,,地上物補貼清除作業等費用，金額新台幣35萬元整,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,280000,16317,,0,無,1150224,17.16,住,,,0,,,,,,,0,義和段868地號,大寮區,義和段,,無,,,0,0,0
買賣,土地,1,0,0,0,0,0,,其他,200000,17483,,0,無,1150224,11.44,住,,,0,,,,,,,0,義和段868-1地號,大寮區,義和段,,無,,,0,0,0
買賣,房地(土地+建物),1,1,0,1,1,1,,住宅大樓(11層含以上有電梯),2300000,57833,,0,有,1150211,3.75,商,,,39.77,辦公用,鋼筋混凝土造,十二層,771019,37,六層,0,高雄市新興區六合一路８８巷３號６樓之１,新興區,新興段一小段,,有,,,28.52,0,5.01
買賣,房地(土地+建物),1,1,0,5,2,3,,透天厝,4880000,60150,,0,無,1150202,65,住,,,81.13,住家用,加強磚造,二層,600405,55,全,0,高雄市苓雅區武仁街１２０號,苓雅區,武聖段,,無,,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；其他增建；,81.13,0,0
買賣,房地(土地+建物),1,1,0,2,1,1,,公寓(5樓含以下無電梯),800000,13167,,0,無,1150201,18.21,住,,,60.76,住家用,鋼筋混凝土造,五層,730106,42,二層,0,高雄市小港區平和十路５巷１弄４之１號,小港區,港和段二小段,,無,,親友、員工、共有人或其他特殊關係間之交易；,44.33,0,7.46
買賣,土地,17,0,0,0,0,0,,其他,8871073,8488,,0,無,1150212,1045.19,,,,0,,,,,,,0,大紅段94-1地號,岡山區,大紅段,,無,,包含公共設施保留地用地；,0,0,0
買賣,建物,0,1,0,0,0,0,,透天厝,17100000,3489,,0,無,1150203,0,,,,4901.68,工業用,鋼骨構造,二層,940131,21,全,0,高雄市岡山區大埔一街３９巷３５號,岡山區,,,無,,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,4901.68,0,0
買賣,房地(土地+建物),1,1,0,3,2,2,,公寓(5樓含以下無電梯),4250000,43855,,0,無,1150211,30.2,住,,,96.92,住家用,鋼筋混凝土造,五層,751207,39,三層,0,高雄市鳳山區同明街１１４巷２號三樓,鳳山區,七老爺段一甲小段,,無,,後陽台增建其他增建；,79.5,0,10.8
